Date,Open,High,Low,Close,Adj Close,Volume
22-02-2021,257.950012,263.070007,257.529999,260.329987,260.329987,17434900
23-02-2021,259.5,267.459991,254.960007,265.859985,265.859985,21924600
24-02-2021,262.329987,266.380005,258.390015,264.309998,264.309998,15736100
25-02-2021,262.299988,266.940002,254.039993,254.690002,254.690002,19053100
26-02-2021,256.470001,265.549988,256.470001,257.619995,257.619995,26619500
01-03-2021,260.820007,266.649994,257.899994,264.910004,264.910004,22157300
02-03-2021,265.779999,266.709991,258.649994,259,259,15191700
03-03-2021,260.290009,260.98999,255.100006,255.410004,255.410004,15513500
04-03-2021,256.470001,266.48999,253.5,257.640015,257.640015,31626500
05-03-2021,260.670013,265.450012,255.610001,264.279999,264.279999,26820100
08-03-2021,265.549988,265.579987,255.050003,255.309998,255.309998,18391800
09-03-2021,261.179993,268.529999,259.809998,265.73999,265.73999,22039700
10-03-2021,268.640015,268.970001,262.869995,264.899994,264.899994,14210300
11-03-2021,268.109985,277.899994,267.820007,273.880005,273.880005,21834000
12-03-2021,269.140015,269.73999,264.019989,268.399994,268.399994,20600200
15-03-2021,269.079987,275.959991,268.5,273.75,273.75,16844800
16-03-2021,276.079987,282.140015,274.799988,279.279999,279.279999,22437700
17-03-2021,275.709991,286.230011,275.410004,284.01001,284.01001,21315000
18-03-2021,279.869995,285.190002,278.279999,278.619995,278.619995,18728300
19-03-2021,281.220001,292.799988,281.200012,290.109985,290.109985,38930500
22-03-2021,290.450012,299.709991,286.75,293.540009,293.540009,28273100
23-03-2021,293.149994,298,289.809998,290.630005,290.630005,23000900
24-03-2021,291,291.720001,281.160004,282.140015,282.140015,18675000
25-03-2021,280.980011,288.059998,277.75,278.73999,278.73999,24505600
26-03-2021,278.299988,284.5,277.769989,283.019989,283.019989,17629200
29-03-2021,285.769989,293.179993,284.700012,290.820007,290.820007,21718800
30-03-2021,289.829987,292.470001,286.700012,288,288,17474500
31-03-2021,289.98999,296.5,288.609985,294.529999,294.529999,19498200
01-04-2021,298.399994,302.399994,296.600006,298.660004,298.660004,17616000
05-04-2021,300.890015,310.769989,300.679993,308.910004,308.910004,28237000
